Resume_ID,Department,Job Description #,Cosine Similarity Score,Label
10554236.pdf,ACCOUNTANT,6,0.6271549783599443,1
10674770.pdf,ACCOUNTANT,4,0.6111685397801865,1
11163645.pdf,ACCOUNTANT,4,0.5348811411655221,0
11759079.pdf,ACCOUNTANT,4,0.6365092362835938,1
12065211.pdf,ACCOUNTANT,4,0.7119469929007941,1
12202337.pdf,ACCOUNTANT,6,0.5831666281467018,0
12338274.pdf,ACCOUNTANT,4,0.6306680878292814,1
12442909.pdf,ACCOUNTANT,1,0.6976268621119045,1
12780508.pdf,ACCOUNTANT,4,0.7152730049694844,1
12802330.pdf,ACCOUNTANT,6,0.7302176211584036,1
13072019.pdf,ACCOUNTANT,3,0.5830358876584981,0
13130984.pdf,ACCOUNTANT,4,0.6529000988156696,1
13294301.pdf,ACCOUNTANT,4,0.6513989647896165,1
13491889.pdf,ACCOUNTANT,4,0.6778657196021377,1
13701259.pdf,ACCOUNTANT,6,0.6778509866242106,1
14055988.pdf,ACCOUNTANT,1,0.5845346338307068,0
14126433.pdf,ACCOUNTANT,4,0.6445230381525594,1
14224370.pdf,ACCOUNTANT,4,0.487388730775631,0
14449423.pdf,ACCOUNTANT,6,0.6822941602186468,1
14470533.pdf,ACCOUNTANT,4,0.5700518179347518,0
14491649.pdf,ACCOUNTANT,4,0.6213992311507753,1
14496667.pdf,ACCOUNTANT,2,0.6973702725574152,1
15289348.pdf,ACCOUNTANT,4,0.685298059182577,1
15363277.pdf,ACCOUNTANT,3,0.4950950409244182,0
15592167.pdf,ACCOUNTANT,4,0.6590069672630732,1
15821633.pdf,ACCOUNTANT,2,0.7295822383732037,1
15906625.pdf,ACCOUNTANT,4,0.5796006344894076,0
16237710.pdf,ACCOUNTANT,6,0.49225743512682424,0
17306905.pdf,ACCOUNTANT,6,0.6688577837806178,1
17407184.pdf,ACCOUNTANT,1,0.5818450148731606,0
17556527.pdf,ACCOUNTANT,4,0.6859365837215482,1
18132924.pdf,ACCOUNTANT,4,0.5847966632484157,0
18365791.pdf,ACCOUNTANT,5,0.5210841368535998,0
18569929.pdf,ACCOUNTANT,1,0.5802342362602799,0
18635654.pdf,ACCOUNTANT,4,0.5807099035416287,0
18669563.pdf,ACCOUNTANT,3,0.5357282625670773,0
19446337.pdf,ACCOUNTANT,4,0.7347444049297271,1
19545827.pdf,ACCOUNTANT,3,0.5923706180670003,0
20082776.pdf,ACCOUNTANT,4,0.5433463588372286,0
20253563.pdf,ACCOUNTANT,4,0.6946025070401106,1
20345168.pdf,ACCOUNTANT,3,0.5971730283686995,0
20393721.pdf,ACCOUNTANT,6,0.5844399636433605,0
20624984.pdf,ACCOUNTANT,4,0.6582552167974368,1
21031285.pdf,ACCOUNTANT,2,0.7583823997002164,1
21338490.pdf,ACCOUNTANT,4,0.7099142684611996,1
21763056.pdf,ACCOUNTANT,4,0.6603628636415194,1
21794875.pdf,ACCOUNTANT,1,0.632936252412231,1
21853199.pdf,ACCOUNTANT,4,0.6713436958236747,1
22465498.pdf,ACCOUNTANT,6,0.6820794326064066,1
22925443.pdf,ACCOUNTANT,5,0.6397014962869885,1
23139819.pdf,ACCOUNTANT,6,0.6968029008843661,1
23246831.pdf,ACCOUNTANT,5,0.6008800666330452,1
23387174.pdf,ACCOUNTANT,4,0.6376219929010227,1
23416654.pdf,ACCOUNTANT,4,0.5269791082300702,0
23438112.pdf,ACCOUNTANT,4,0.58332059382888,0
23513618.pdf,ACCOUNTANT,6,0.733444686681032,1
23636277.pdf,ACCOUNTANT,6,0.36260141054362904,0
23734441.pdf,ACCOUNTANT,4,0.7053191916306307,1
24103168.pdf,ACCOUNTANT,6,0.6034685175760777,1
24294778.pdf,ACCOUNTANT,1,0.7401167088769923,1
24703009.pdf,ACCOUNTANT,4,0.6978059023709352,1
24799301.pdf,ACCOUNTANT,6,0.17968519143588127,0
24817041.pdf,ACCOUNTANT,4,0.3948105426123197,0
25067742.pdf,ACCOUNTANT,4,0.511938764375341,0
25127518.pdf,ACCOUNTANT,1,0.5657549190260935,0
25462793.pdf,ACCOUNTANT,4,0.4871233716659984,0
25547145.pdf,ACCOUNTANT,5,0.7329921645043355,1
25749150.pdf,ACCOUNTANT,1,0.6850435382628831,1
25846894.pdf,ACCOUNTANT,3,0.6096772794945796,1
25862026.pdf,ACCOUNTANT,6,0.7468174424543069,1
25867805.pdf,ACCOUNTANT,4,0.6723004820529026,1
25935030.pdf,ACCOUNTANT,5,0.7740498253361182,1
26065877.pdf,ACCOUNTANT,1,0.5481273136605033,0
26975573.pdf,ACCOUNTANT,6,0.7695308336101926,1
27558837.pdf,ACCOUNTANT,4,0.5585803645506879,0
27573855.pdf,ACCOUNTANT,4,0.6529387977735875,1
27637576.pdf,ACCOUNTANT,3,0.5317607832807848,0
27980446.pdf,ACCOUNTANT,3,0.682094953929077,1
28298773.pdf,ACCOUNTANT,4,0.6208196242620397,1
28359817.pdf,ACCOUNTANT,4,0.5487774907704319,0
28614791.pdf,ACCOUNTANT,1,0.5297999020062851,0
28939941.pdf,ACCOUNTANT,5,0.5358142242459362,0
28969385.pdf,ACCOUNTANT,6,0.7559665758233192,1
29050809.pdf,ACCOUNTANT,6,0.6341580546366391,1
29456173.pdf,ACCOUNTANT,2,0.7591963863586997,1
29821051.pdf,ACCOUNTANT,6,0.6945564470917948,1
29999135.pdf,ACCOUNTANT,4,0.685357392495786,1
30304575.pdf,ACCOUNTANT,6,0.6382303265535929,1
30361788.pdf,ACCOUNTANT,4,0.48519702061942144,0
30813919.pdf,ACCOUNTANT,6,0.6076351915646677,1
31602598.pdf,ACCOUNTANT,4,0.5429014081292588,0
33527446.pdf,ACCOUNTANT,3,0.7390473267382457,1
34198885.pdf,ACCOUNTANT,4,0.6391497478614397,1
34816637.pdf,ACCOUNTANT,4,0.544706054527695,0
35554162.pdf,ACCOUNTANT,1,0.6808584735067876,1
36024962.pdf,ACCOUNTANT,3,0.5571687035372109,0
36425270.pdf,ACCOUNTANT,4,0.6136049958875432,1
37370455.pdf,ACCOUNTANT,4,0.6771308272462764,1
37997506.pdf,ACCOUNTANT,6,0.7437373630145414,1
38847011.pdf,ACCOUNTANT,3,0.5811097175396351,0
39115899.pdf,ACCOUNTANT,6,0.6086545692100281,1
39674178.pdf,ACCOUNTANT,6,0.6322817451123902,1
42487883.pdf,ACCOUNTANT,6,0.6918411811174685,1
43685045.pdf,ACCOUNTANT,4,0.5886970819627542,0
49204385.pdf,ACCOUNTANT,4,0.7582727429039752,1
49997097.pdf,ACCOUNTANT,6,0.682225886626677,1
50222417.pdf,ACCOUNTANT,6,0.6729962509073392,1
53640713.pdf,ACCOUNTANT,4,0.7278480040236144,1
59403481.pdf,ACCOUNTANT,1,0.6631172105363801,1
62809577.pdf,ACCOUNTANT,1,0.5058467619837194,0
63137898.pdf,ACCOUNTANT,4,0.5675808406229055,0
75286906.pdf,ACCOUNTANT,4,0.6164984637921656,1
78257294.pdf,ACCOUNTANT,6,0.7365737345487406,1
